file,priority,rawInput,rawSelect,rawTextarea,inlineStyle,arbitraryZ,manualPalette,createPortal,rawTable,TextField,SelectField,TextareaField,SearchableSelectField,AppSearchField,ModalField,DialogShell,AppModal,DataTableShell,ManagementDirectoryTable
pages/partnerDetail/PartnerSettlementSubmitFailureRecoverySection.tsx,P2,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0
components/reports/GenericSmartInsightModal.tsx,P2,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0
pages/reports/FinancialOverview.tsx,P2,1,0,0,2,0,72,0,1,0,1,0,0,0,0,0,0,0,0
pages/partnerDetail/partnerDetailControllerSupport.tsx,P2,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0
components/reports/MlOperatorOverview.tsx,P2,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0
components/reports/OfflineEvaluationComparisonDashboard.tsx,P2,0,0,0,0,0,68,0,1,0,0,0,0,0,0,0,0,1,0
components/reports/mlOperator/MlOperatorFilterToolbar.tsx,P2,0,0,0,0,0,68,0,0,1,3,0,0,0,0,0,0,0,0
pages/Invoices.tsx,P2,0,0,0,0,0,66,0,2,0,1,0,0,0,0,0,0,2,0
components/PhoneModelAutocomplete.tsx,P2,1,0,0,0,1,65,0,0,0,0,0,0,0,0,0,0,0,0
components/SmsHealthCheckPanel.tsx,P2,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0
components/reports/OfflineCandidateDeploymentReadinessMetadata.tsx,P2,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0
components/reports/ReportsDecisionEngine.tsx,P2,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0
pages/SalesHub.tsx,P2,0,0,0,0,0,62,0,0,0,1,0,0,0,0,0,0,0,0
components/reports/mlOperator/MlOperatorAccessVisibilityAssurance.tsx,P2,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0
