file,category,domain,bytes,kb,lines,selectors,important_count,css_import_count,import_order,risk_score,risk_level,risk_reasons
styles/legacy/06a-legacy-sales-flow-visual-pass.css,legacy-split,Sales/Cart,2091,2.04,110,18,0,0,64,6,medium,legacy CSS split from historical monolith; sensitive UI/business domain; active imported CSS
styles/legacy/06b-legacy-sales-cart-button-borders.css,legacy-split,"Sales/Cart, Buttons",854,0.83,45,8,1,0,65,6,medium,legacy CSS split from historical monolith; sensitive UI/business domain; active imported CSS
styles/legacy/06c-legacy-sales-cart-premium-cleanup.css,legacy-split,Sales/Cart,580,0.57,24,4,2,0,66,6,medium,legacy CSS split from historical monolith; sensitive UI/business domain; active imported CSS
styles/legacy/06d-legacy-sales-cart-full-page-redesign.css,legacy-split,Sales/Cart,517,0.5,14,3,3,0,67,6,medium,legacy CSS split from historical monolith; sensitive UI/business domain; active imported CSS
styles/legacy/07a-legacy-button-stroke-normalization.css,legacy-split,Buttons,1831,1.79,65,6,6,0,68,4,low,legacy CSS split from historical monolith; active imported CSS
styles/legacy/07b-legacy-premium-button-unification.css,legacy-split,Buttons,3181,3.11,121,14,24,0,69,4,low,legacy CSS split from historical monolith; active imported CSS
styles/legacy/08a-legacy-global-field-system.css,legacy-split,Forms/Inputs,3498,3.42,121,15,10,0,70,4,low,legacy CSS split from historical monolith; active imported CSS
styles/legacy/08b-legacy-global-card-section-system.css,legacy-split,General/System,2827,2.76,88,10,0,0,71,4,low,legacy CSS split from historical monolith; active imported CSS
styles/legacy/08c-legacy-global-table-row-actions.css,legacy-split,Tables,3741,3.65,151,18,0,0,72,4,low,legacy CSS split from historical monolith; active imported CSS
styles/legacy/09a-legacy-global-modal-drawer-unification.css,legacy-split,Modals,3384,3.3,151,15,0,0,73,6,medium,legacy CSS split from historical monolith; sensitive UI/business domain; active imported CSS
styles/legacy/09b-legacy-global-toast-alert-status.css,legacy-split,Toasts,3453,3.37,152,16,7,0,74,4,low,legacy CSS split from historical monolith; active imported CSS
styles/legacy/09c-legacy-global-nav-sidebar-topbar.css,legacy-split,"Sidebar, Navigation",3759,3.67,151,12,0,0,75,6,medium,legacy CSS split from historical monolith; sensitive UI/business domain; active imported CSS
styles/legacy/09d-legacy-global-charts-kpi-dashboard.css,legacy-split,"Dashboard, Charts",3219,3.14,125,13,7,0,76,4,low,legacy CSS split from historical monolith; active imported CSS
styles/legacy/10a-legacy-final-shell-cohesion.css,legacy-split,General/System,905,0.88,54,7,0,0,77,4,low,legacy CSS split from historical monolith; active imported CSS
styles/legacy/10b-legacy-targeted-ui-qa-cleanup.css,legacy-split,General/System,722,0.71,40,5,0,0,78,4,low,legacy CSS split from historical monolith; active imported CSS
styles/legacy/10c-legacy-smart-toast-progress.css,legacy-split,Toasts,271,0.26,6,3,0,0,79,4,low,legacy CSS split from historical monolith; active imported CSS
styles/legacy/10d-legacy-telegram-modal-stability-lux.css,legacy-split,"Telegram, Modals",1390,1.36,52,11,11,0,80,6,medium,legacy CSS split from historical monolith; sensitive UI/business domain; active imported CSS
styles/legacy/10e-legacy-installment-combobox-phone-edit-vertical.css,legacy-split,Mobile Phones,1311,1.28,40,5,13,0,81,6,medium,legacy CSS split from historical monolith; sensitive UI/business domain; active imported CSS
styles/legacy/10f-legacy-phone-edit-horizontal-modal.css,legacy-split,"Mobile Phones, Modals",1805,1.76,40,7,8,0,82,6,medium,legacy CSS split from historical monolith; sensitive UI/business domain; active imported CSS
styles/components/forms.css,component-shared,General/System,11787,11.51,413,74,4,0,83,3,low,medium selector surface; active imported CSS
styles/components/modals.css,component-shared,Modals,7406,7.23,294,43,43,0,84,5,medium,high !important count; sensitive UI/business domain; active imported CSS
styles/components/badges.css,component-shared,General/System,7543,7.37,213,47,0,0,85,1,low,active imported CSS
styles/components/detail.css,component-shared,General/System,2659,2.6,68,14,0,0,86,1,low,active imported CSS
styles/components/button-normalization.css,component-shared,Buttons,4251,4.15,96,13,0,0,87,1,low,active imported CSS
styles/components/toasts.css,component-shared,Toasts,2228,2.18,110,17,0,0,88,1,low,active imported CSS
styles/components/empty-states.css,component-shared,General/System,1646,1.61,86,13,0,0,89,1,low,active imported CSS
styles/layout/sidebar-chrome.css,layout-system,Sidebar,2133,2.08,39,11,0,0,90,3,low,sensitive UI/business domain; active imported CSS
styles/pages/customers-shell.css,page-domain,Customers,982,0.96,22,8,0,0,91,1,low,active imported CSS
styles/pages/settings-overrides.css,page-domain,Settings,454,0.44,6,1,0,0,92,1,low,active imported CSS
styles/components/detail-hero.css,component-shared,General/System,839,0.82,15,4,0,0,93,1,low,active imported CSS
styles/layout/print-shells.css,layout-system,General/System,1354,1.32,55,7,7,0,94,1,low,active imported CSS
styles/components/unified-buttons.css,component-shared,Buttons,8596,8.39,299,26,94,0,95,3,low,high !important count; active imported CSS
styles/runtime-overrides/01a1-people-table-action-baseline.css,runtime-override,"People, Tables",1642,1.6,68,9,12,0,96,5,medium,runtime override imported after index.css; active imported CSS
styles/runtime-overrides/01a2-people-page-hero-lists.css,runtime-override,People,8717,8.51,339,42,123,0,97,8,high,runtime override imported after index.css; very high !important count; active imported CSS
styles/runtime-overrides/01a3-settings-adaptive-sidebar-cleanup.css,runtime-override,"Sidebar, Settings",6596,6.44,259,47,34,0,98,9,high,runtime override imported after index.css; high !important count; sensitive UI/business domain; active imported CSS
