selector,occurrences,file_count,files
.phone-addable-autocomplete__menu,6,3,styles/runtime-overrides/01b-people-foundation-after-fields.css | styles/runtime-overrides/03b-reports-mobile-settings-smoke.css | styles/runtime-overrides/05-mobile-phones.css
.partners-table-shell td:last-child .partners-action-btn,6,3,styles/runtime-overrides/07f-cross-module-density-pass.css | styles/runtime-overrides/08a-unified-table-actions.css | styles/runtime-overrides/08d-people-table-detail-contracts.css
#telegram-settings-form .telegram-studio-filter-row,6,3,styles/runtime-overrides/09c-telegram-template-center-cards.css | styles/runtime-overrides/09d1-telegram-studio-filter-controls.css | styles/runtime-overrides/09d2-telegram-studio-search-empty-states.css
.app-card,6,2,styles/components/cards.css | styles/legacy-monolith.css
.ux-toolbar-surface,6,2,styles/components/toolbars.css | styles/legacy-monolith.css
"[id^=""tg-item-""]",6,2,styles/pages/telegram.css | styles/runtime-overrides/02b-settings-telegram-compact.css
"[id^=""tg-audience-""]",6,2,styles/pages/telegram.css | styles/runtime-overrides/02b-settings-telegram-compact.css
#telegram-settings-form .tg-apple-setup-card,6,2,styles/pages/telegram.css | styles/runtime-overrides/09d9-telegram-monitor-anchoring-hotfixes.css
.ux-btn-secondary,6,2,styles/legacy-monolith.css | styles/runtime-overrides/01b-people-foundation-after-fields.css
.ux-btn-warning,6,2,styles/legacy-monolith.css | styles/runtime-overrides/01b-people-foundation-after-fields.css
.ux-btn-ghost,6,2,styles/legacy-monolith.css | styles/runtime-overrides/01b-people-foundation-after-fields.css
.ux-select,6,2,styles/legacy-monolith.css | styles/components/unified-fields.css
.app-inline-alert,6,2,styles/legacy-monolith.css | styles/components/toasts.css
"button[data-ux-enhanced=""true""][data-ux-icon-glyph]::before",6,2,styles/components/unified-buttons.css | styles/runtime-overrides/01a7-shared-primitives-button-system.css
.phone-card-spec-pill,6,2,styles/runtime-overrides/07a-products-modal-precision-cleanup.css | styles/runtime-overrides/07b-products-modal-responsive-polish.css
.premium-modal-shell .premium-form-section,6,2,styles/runtime-overrides/07a-products-modal-precision-cleanup.css | styles/runtime-overrides/07b-products-modal-responsive-polish.css
.report-page :where(thead th),6,1,styles/pages/reports.css
.report-page :where(tbody td),6,1,styles/pages/reports.css
.page-shell-modern,6,1,styles/legacy-monolith.css
.reports-local-export-note,6,1,styles/runtime-overrides/06d-kpi-navigation-density-mobile.css
.customers-hero-title,5,5,styles/pages/customers.css | styles/legacy-monolith.css | styles/pages/customers-shell.css | styles/runtime-overrides/01a2-people-page-hero-lists.css | styles/runtime-overrides/02e-people-commercial-redesign.css
.partners-filter-chip,5,5,styles/runtime-overrides/01a4-people-detail-repair-header-filters.css | styles/runtime-overrides/01a6-detail-kpi-filter-icon-system.css | styles/runtime-overrides/01a7-shared-primitives-button-system.css | styles/runtime-overrides/02e-people-commercial-redesign.css | styles/runtime-overrides/04b-people-list-unification.css
.installment-table-actions,5,4,styles/components/tables.css | styles/components/toolbars.css | styles/components/unified-buttons.css | styles/runtime-overrides/01a7-shared-primitives-button-system.css
.ux-nav-compact li > button > div,5,4,styles/pages/telegram.css | styles/pages/customers.css | styles/legacy-monolith.css | styles/layout/sidebar-chrome.css
.ux-nav-compact li > a > div,5,4,styles/pages/telegram.css | styles/pages/customers.css | styles/legacy-monolith.css | styles/layout/sidebar-chrome.css
.settings-sidebar,5,4,styles/pages/settings.css | styles/legacy-monolith.css | styles/pages/settings-overrides.css | styles/runtime-overrides/01a3-settings-adaptive-sidebar-cleanup.css
.dark .customers-hero-mini,5,4,styles/pages/customers.css | styles/legacy-monolith.css | styles/pages/customers-shell.css | styles/runtime-overrides/02e-people-commercial-redesign.css
.partners-filter-chips,5,4,styles/pages/partners.css | styles/runtime-overrides/01a4-people-detail-repair-header-filters.css | styles/runtime-overrides/01a5-partner-command-detail-refinement.css | styles/runtime-overrides/04b-people-list-unification.css
.partners-toolbar-summary,5,4,styles/pages/partners.css | styles/runtime-overrides/01a4-people-detail-repair-header-filters.css | styles/runtime-overrides/04b-people-list-unification.css | styles/runtime-overrides/10c-people-filters-mobile-cards.css
.people-stat-card__label,5,4,styles/legacy-monolith.css | styles/runtime-overrides/01a2-people-page-hero-lists.css | styles/runtime-overrides/02e-people-commercial-redesign.css | styles/runtime-overrides/04b-people-list-unification.css
"button[data-ux-enhanced=""true""]",5,4,styles/components/unified-buttons.css | styles/runtime-overrides/01a7-shared-primitives-button-system.css | styles/runtime-overrides/01b-people-foundation-after-fields.css | styles/runtime-overrides/09a-telegram-settings-foundation.css
.dark #telegram-settings-form .telegram-monitor-v2-action__value,5,4,styles/runtime-overrides/09b-telegram-control-center-monitoring.css | styles/runtime-overrides/09d7-telegram-monitor-card-standard.css | styles/runtime-overrides/09d8-telegram-monitor-size-placement-contract.css | styles/runtime-overrides/09d9-telegram-monitor-anchoring-hotfixes.css
#telegram-settings-form .telegram-studio-stat-card::after,5,4,styles/runtime-overrides/09c-telegram-template-center-cards.css | styles/runtime-overrides/09d2-telegram-studio-search-empty-states.css | styles/runtime-overrides/09d4-telegram-studio-cleanup-mini-cards.css | styles/runtime-overrides/09d6-telegram-lower-mini-cards-search.css
