selector,body_variants,definitions,files
"#telegram-settings-form .telegram-monitor-v2-action__label, #telegram-settings-form .telegram-monitor-v2-checkcard strong, #telegram-settings-form .telegram-monitor-v2-action__value, #telegram-settings-form .telegram-monitor-v2-checkcard p",2,2,09c-telegram-template-center-cards.css
"#telegram-settings-form .telegram-monitor-v2-action__value span[dir='ltr'], #telegram-settings-form .telegram-monitor-v2-action__value[dir='ltr']",2,2,09d7-telegram-monitor-card-standard.css | 09d8-telegram-monitor-size-placement-contract.css
"#telegram-settings-form .telegram-monitor-v2-action__value[dir='ltr'], #telegram-settings-form .telegram-monitor-v2-action__value span[dir='ltr']",2,2,09d1-telegram-studio-filter-controls.css | 09d8-telegram-monitor-size-placement-contract.css
"#telegram-settings-form .telegram-monitor-v2-actions-grid, #telegram-settings-form .telegram-monitor-v2-checklist",2,2,09b-telegram-control-center-monitoring.css
#telegram-settings-form .telegram-monitor-v2-body,2,2,09b-telegram-control-center-monitoring.css
#telegram-settings-form .telegram-monitor-v2-head,2,2,09b-telegram-control-center-monitoring.css
#telegram-settings-form .telegram-monitor-v2-topgrid,2,2,09b-telegram-control-center-monitoring.css
#telegram-settings-form .telegram-plain-field-heading__icon,2,2,09c-telegram-template-center-cards.css | 09d1-telegram-studio-filter-controls.css
#telegram-settings-form .telegram-plain-field-heading__text,2,2,09c-telegram-template-center-cards.css | 09d1-telegram-studio-filter-controls.css
#telegram-settings-form .telegram-studio-filter-row .ux-field-leading-icon,2,2,09d2-telegram-studio-search-empty-states.css | 09d4-telegram-studio-cleanup-mini-cards.css
#telegram-settings-form .telegram-studio-mini-card::after,2,2,09d5-telegram-lower-stat-cards.css | 09d6-telegram-lower-mini-cards-search.css
#telegram-settings-form .telegram-studio-mode-button.is-active,2,2,09c-telegram-template-center-cards.css | 09d1-telegram-studio-filter-controls.css
#telegram-settings-form .telegram-studio-mode-panel,2,2,09c-telegram-template-center-cards.css | 09d1-telegram-studio-filter-controls.css
#telegram-settings-form .telegram-studio-stat-card,2,2,09c-telegram-template-center-cards.css
#telegram-settings-form .telegram-studio-stat-card::after,2,2,09d4-telegram-studio-cleanup-mini-cards.css | 09d6-telegram-lower-mini-cards-search.css
#telegram-settings-form .telegram-template-command-card__content,2,2,09c-telegram-template-center-cards.css
"#telegram-settings-form .telegram-template-command-card__desc, #telegram-settings-form .telegram-template-summary-card__desc",2,2,09c-telegram-template-center-cards.css
#telegram-settings-form .telegram-template-command-card__metrics span,2,2,09c-telegram-template-center-cards.css
"#telegram-settings-form .telegram-template-command-card__title, #telegram-settings-form .telegram-template-summary-card__title",2,2,09c-telegram-template-center-cards.css
#telegram-settings-form .telegram-template-command-card__top,2,2,09c-telegram-template-center-cards.css
#telegram-settings-form .telegram-template-summary-card__value,2,2,09c-telegram-template-center-cards.css
#telegram-settings-form .tg-apple-check-list,2,2,09a-telegram-settings-foundation.css | 09b-telegram-control-center-monitoring.css
#telegram-settings-form .tg-apple-check-row .ux-btn__content,2,2,09a-telegram-settings-foundation.css | 09b-telegram-control-center-monitoring.css
#telegram-settings-form .tg-apple-check-row__body > div:first-child,2,2,09b-telegram-control-center-monitoring.css
#telegram-settings-form .tg-apple-control-card .mt-2,2,2,09b-telegram-control-center-monitoring.css
#telegram-settings-form .tg-apple-control-card .ux-btn__content,2,2,09b-telegram-control-center-monitoring.css
#telegram-settings-form .tg-apple-control-card > div:first-child,2,2,09b-telegram-control-center-monitoring.css
#telegram-settings-form .tg-apple-control-card > div:first-child > i,2,2,09b-telegram-control-center-monitoring.css
#telegram-settings-form .tg-apple-control-card > div:first-child > span,2,2,09b-telegram-control-center-monitoring.css
